Longitude,Latitude,Address,City,Postal Code,Zip Code,State,Address Type,House Number,Street Address,Street Direction,Street Suffix,Unit Number
-100.811844,46.819004,1244 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1244,HIGHLAND ACRES,E,RD,
-100.804611,46.815628,1002 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1002,ARTHUR,,DR,
-100.810593,46.81942,1235 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1235,HIGHLAND ACRES,E,RD,
-100.809837,46.818523,1224 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1224,PARKVIEW,N,DR,
-100.809764,46.819147,1240 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1240,PARKVIEW,N,DR,
-100.805626,46.817947,1130 WARD RD,BISMARCK,,58501,North Dakota,Residential,1130,WARD,,RD,
-100.805595,46.816727,1018 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1018,PARKVIEW,N,DR,
-100.812828,46.815598,1212 PROSPECT PL,BISMARCK,,58501,North Dakota,Residential,1212,PROSPECT,,PL,
-100.805412,46.817093,1007 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1007,HIGHLAND,,PL,
-100.811867,46.815815,1201 PRAIRIE DR,BISMARCK,,58501,North Dakota,Residential,1201,PRAIRIE,,DR,
-100.812319,46.814506,1202 VICTORY PL,BISMARCK,,58501,North Dakota,Residential,1202,VICTORY,,PL,
-100.813545,46.817604,1124 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1124,PIONEER,,DR,
-100.813423,46.819145,1261 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1261,HIGHLAND ACRES,W,RD,
-100.812323,46.818513,1237 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1237,COULEE,W,RD,
-100.807205,46.815952,1017 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1017,CRESCENT,,LN,
-100.809105,46.819798,1256 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1256,PARKVIEW,N,DR,
-100.813469,46.8178,1128 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1128,PIONEER,,DR,
-100.81309,46.818951,1244 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1244,COULEE,W,RD,
-100.813031,46.818402,1140 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1140,PIONEER,,DR,
-100.814957,46.81562,1016 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1016,HIGHLAND ACRES,W,RD,
-100.808494,46.817039,1129 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1129,PARKVIEW,N,DR,
-100.806572,46.817863,1017 COTTAGE DR,BISMARCK,,58501,North Dakota,Residential,1017,COTTAGE,,DR,
-100.806282,46.819027,1228 WARD RD,BISMARCK,,58501,North Dakota,Residential,1228,WARD,,RD,
-100.809158,46.819119,1239 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1239,PARKVIEW,N,DR,
-100.809052,46.819321,1255 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1255,PARKVIEW,N,DR,
-100.809949,46.813565,1120 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1120,HIGHLAND ACRES,S,RD,
-100.813712,46.815549,1224 PROSPECT PL,BISMARCK,,58501,North Dakota,Residential,1224,PROSPECT,,PL,
-100.814156,46.815952,1023 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1023,HIGHLAND ACRES,W,RD,
-100.810822,46.815975,1105 PRAIRIE DR,BISMARCK,,58501,North Dakota,Residential,1105,PRAIRIE,,DR,
-100.809769,46.816118,1029 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1029,HIGHLAND ACRES,E,RD,
-100.813502,46.816232,1221 PRAIRIE DR,BISMARCK,,58501,North Dakota,Residential,1221,PRAIRIE,,DR,
-100.813805,46.816719,1104 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1104,PIONEER,,DR,
-100.813766,46.815356,1225 PROSPECT PL,BISMARCK,,58501,North Dakota,Residential,1225,PROSPECT,,PL,
-100.813538,46.817238,1116 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1116,PIONEER,,DR,
-100.812891,46.817431,1121 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1121,PIONEER,,DR,
-100.810456,46.815616,1020 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1020,HIGHLAND ACRES,E,RD,
-100.811193,46.815639,1009 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,1009,MIDWAY,,DR,
-100.813753,46.81954,1262 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1262,HIGHLAND ACRES,W,RD,
-100.814941,46.814199,1249 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1249,HIGHLAND ACRES,S,RD,
-100.81424,46.815487,1013 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1013,HIGHLAND ACRES,W,RD,
-100.804307,46.816535,1015 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1015,ARTHUR,,DR,
-100.805241,46.814121,907 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,907,CRESCENT,,LN,
-100.806015,46.817547,1014 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1014,HIGHLAND,,PL,
-100.805254,46.815849,1009 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1009,PARKVIEW,,DR,
-100.805908,46.816715,1024 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1024,PARKVIEW,N,DR,
-100.806549,46.816719,1038 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1038,PARKVIEW,N,DR,
-100.803998,46.815855,1007 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1007,ARTHUR,,DR,
-100.806631,46.814036,909 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,909,PARKVIEW,,DR,
-100.805942,46.813547,828 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,828,CRESCENT,,LN,
-100.805008,46.816776,1008 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1008,PARKVIEW,N,DR,
-100.815056,46.818562,1238 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1238,HIGHLAND ACRES,W,RD,
-100.803584,46.815187,905 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,905,ARTHUR,,DR,
-100.80748,46.817059,1108 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1108,PARKVIEW,N,DR,
-100.804611,46.815857,1008 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1008,ARTHUR,,DR,
-100.805705,46.817577,1008 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1008,HIGHLAND,,PL,
-100.805099,46.816097,1019 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1019,PARKVIEW,,DR,
-100.806539,46.812865,804 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,804,CRESCENT,,LN,
-100.805878,46.81472,916 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,916,CRESCENT,,LN,
-100.805367,46.815267,929 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,929,CRESCENT,,LN,
-100.805284,46.815457,1001 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1001,PARKVIEW,,DR,
-100.807259,46.817224,1039 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1039,HIGHLAND,,PL,
-100.806618,46.817562,1026 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1026,HIGHLAND,,PL,
-100.809059,46.81892,1235 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1235,PARKVIEW,N,DR,
-100.80716,46.819516,1109 EDWARDS AVE,BISMARCK,,58501,North Dakota,Residential,1109,EDWARDS,,AVE,
-100.80397,46.815392,929 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,929,ARTHUR,,DR,
-100.810715,46.813545,1136 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1136,HIGHLAND ACRES,S,RD,
-100.80942,46.819753,1252 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1252,PARKVIEW,N,DR,
-100.805891,46.813933,902 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,902,CRESCENT,,LN,
-100.805239,46.814689,917 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,917,CRESCENT,,LN,
-100.811867,46.815601,1006 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,1006,MIDWAY,,DR,
-100.805807,46.812777,813 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,813,CRESCENT,,LN,
-100.803463,46.814774,908 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,908,ARTHUR,,DR,
-100.805153,46.814293,911 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,911,CRESCENT,,LN,
-100.814171,46.816212,1027 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1027,HIGHLAND ACRES,W,RD,
-100.805273,46.815077,925 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,925,CRESCENT,,LN,
-100.813797,46.816242,1105 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1105,PIONEER,,DR,
-100.804481,46.814856,924 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,924,ARTHUR,,DR,
-100.810516,46.819134,1231 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1231,HIGHLAND ACRES,E,RD,
-100.810504,46.818189,1215 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1215,HIGHLAND ACRES,E,RD,
-100.80674,46.815472,1010 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1010,CRESCENT,,LN,
-100.806259,46.815323,934 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,934,PARKVIEW,,DR,
-100.80591,46.813743,832 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,832,CRESCENT,,LN,
-100.806563,46.814239,913 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,913,PARKVIEW,,DR,
-100.806033,46.813363,822 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,822,CRESCENT,,LN,
-100.812222,46.817483,1218 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1218,COULEE,W,RD,
-100.805887,46.814351,910 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,910,CRESCENT,,LN,
-100.811203,46.817059,1202 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1202,COULEE,W,RD,
-100.805389,46.817646,1120 WARD RD,BISMARCK,,58501,North Dakota,Residential,1120,WARD,,RD,
-100.812438,46.815064,1205 PROSPECT PL,BISMARCK,,58501,North Dakota,Residential,1205,PROSPECT,,PL,
-100.806114,46.81789,1009 COTTAGE DR,BISMARCK,,58501,North Dakota,Residential,1009,COTTAGE,,DR,
-100.813133,46.815674,1216 PROSPECT PL,BISMARCK,,58501,North Dakota,Residential,1216,PROSPECT,,PL,
-100.815001,46.814864,1000 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1000,HIGHLAND ACRES,W,RD,
-100.813637,46.816879,1108 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1108,PIONEER,,DR,
-100.807188,46.817485,1038 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1038,HIGHLAND,,PL,
-100.805588,46.812881,817 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,817,CRESCENT,,LN,
-100.806419,46.817039,1023 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1023,HIGHLAND,,PL,
-100.804285,46.81468,920 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,920,ARTHUR,,DR,
-100.812241,46.81345,1200 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1200,HIGHLAND ACRES,S,RD,
-100.814102,46.81724,1111 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1111,HIGHLAND ACRES,W,RD,
-100.808176,46.817932,1209 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1209,COULEE,E,RD,
-100.806725,46.817059,1027 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1027,HIGHLAND,,PL,
-100.806938,46.817646,1032 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1032,HIGHLAND,,PL,
-100.808788,46.81725,1139 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1139,PARKVIEW,N,DR,
-100.806168,46.818417,1008 COTTAGE DR,BISMARCK,,58501,North Dakota,Residential,1008,COTTAGE,,DR,
-100.80864,46.818199,1208 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1208,COULEE,E,RD,
-100.809094,46.818371,1213 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1213,PARKVIEW,N,DR,
-100.806179,46.818843,1220 WARD RD,BISMARCK,,58501,North Dakota,Residential,1220,WARD,,RD,
-100.805329,46.813316,825 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,825,CRESCENT,,LN,
-100.809692,46.81786,1208 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1208,PARKVIEW,N,DR,
-100.807831,46.815769,1025 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1025,CRESCENT,,LN,
-100.804634,46.815025,926 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,926,ARTHUR,,DR,
-100.802658,46.814052,900 PROSPECT PT,BISMARCK,,58501,North Dakota,Residential,900,PROSPECT,,PT,
-100.807805,46.818582,1221 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1221,COULEE,E,RD,
-100.810997,46.813545,1140 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1140,HIGHLAND ACRES,S,RD,
-100.81044,46.813534,1134 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1134,HIGHLAND ACRES,S,RD,
-100.812137,46.818164,1229 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1229,COULEE,W,RD,
-100.810703,46.818784,1227 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1227,HIGHLAND ACRES,E,RD,
-100.805239,46.814883,921 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,921,CRESCENT,,LN,
-100.808323,46.819794,1306 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1306,COULEE,E,RD,
-100.805255,46.813956,903 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,903,CRESCENT,,LN,
-100.803696,46.814678,912 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,912,ARTHUR,,DR,
-100.80367,46.815464,930 WARD RD,BISMARCK,,58501,North Dakota,Residential,930,WARD,,RD,
-100.803413,46.813832,820 PROSPECT PT,BISMARCK,,58501,North Dakota,Residential,820,PROSPECT,,PT,
-100.814194,46.814137,1242 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1242,HIGHLAND ACRES,S,RD,
-100.803997,46.814683,916 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,916,ARTHUR,,DR,
-100.813769,46.813715,1228 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1228,HIGHLAND ACRES,S,RD,
-100.811264,46.813499,1144 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1144,HIGHLAND ACRES,S,RD,
-100.80574,46.817059,1013 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1013,HIGHLAND,,PL,
-100.803978,46.816093,1011 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1011,ARTHUR,,DR,
-100.811127,46.815422,1005 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,1005,MIDWAY,,DR,
-100.80529,46.816719,1012 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1012,PARKVIEW,N,DR,
-100.81087,46.814028,1117 FAIRVIEW PL,BISMARCK,,58501,North Dakota,Residential,1117,FAIRVIEW,,PL,
-100.806742,46.813846,905 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,905,PARKVIEW,,DR,
-100.813716,46.819046,1255 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1255,HIGHLAND ACRES,W,RD,
-100.806488,46.814434,917 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,917,PARKVIEW,,DR,
-100.812222,46.813866,808 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,808,MIDWAY,,DR,
-100.805939,46.814522,912 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,912,CRESCENT,,LN,
-100.81194,46.819798,1251 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1251,HIGHLAND ACRES,E,RD,
-100.812111,46.814976,912 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,912,MIDWAY,,DR,
-100.806229,46.813137,816 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,816,CRESCENT,,LN,
-100.812275,46.818365,1233 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1233,COULEE,W,RD,
-100.811165,46.815868,1109 PRAIRIE DR,BISMARCK,,58501,North Dakota,Residential,1109,PRAIRIE,,DR,
-100.812979,46.816889,1113 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1113,PIONEER,,DR,
-100.805507,46.813152,821 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,821,CRESCENT,,LN,
-100.80625,46.815862,1005 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1005,CRESCENT,,LN,
-100.810632,46.818591,1223 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1223,HIGHLAND ACRES,E,RD,
-100.814211,46.817692,1121 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1121,HIGHLAND ACRES,W,RD,
-100.804749,46.816917,1100 WARD RD,BISMARCK,,58501,North Dakota,Residential,1100,WARD,,RD,
-100.814921,46.816548,1100 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1100,HIGHLAND ACRES,W,RD,
-100.814995,46.8204,1309 SCHAFER ST STE A,BISMARCK,,58501,North Dakota,Business,1309,SCHAFER,,ST,STE A
-100.808003,46.818129,1213 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1213,COULEE,E,RD,
-100.806244,46.814819,929 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,929,PARKVIEW,,DR,
-100.814126,46.81697,1107 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1107,HIGHLAND ACRES,W,RD,
-100.813945,46.813838,1232 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1232,HIGHLAND ACRES,S,RD,
-100.808464,46.81773,1205 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1205,COULEE,E,RD,
-100.807037,46.817081,1033 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1033,HIGHLAND,,PL,
-100.812851,46.817806,1129 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1129,PIONEER,,DR,
-100.812828,46.817608,1125 PIONEER DR,BISMARCK,,58501,North Dakota,Residential,1125,PIONEER,,DR,
-100.812431,46.817657,1222 W COULEE RD,BISMARCK,,58501,North Dakota,Residential,1222,COULEE,W,RD,
-100.814645,46.819293,1250 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1250,HIGHLAND ACRES,W,RD,
-100.808206,46.816818,1121 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1121,PARKVIEW,N,DR,
-100.814255,46.814301,1248 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1248,HIGHLAND ACRES,S,RD,
-100.809052,46.817383,1143 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1143,COULEE,E,RD,
-100.807017,46.818217,1026 COTTAGE DR,BISMARCK,,58501,North Dakota,Residential,1026,COTTAGE,,DR,
-100.808929,46.818043,1204 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1204,COULEE,E,RD,
-100.809059,46.818539,1221 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1221,PARKVIEW,N,DR,
-100.806213,46.816711,1030 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1030,PARKVIEW,N,DR,
-100.808548,46.818729,1226 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1226,COULEE,E,RD,
-100.806076,46.817039,1017 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1017,HIGHLAND,,PL,
-100.80787,46.819201,1241 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1241,COULEE,E,RD,
-100.805977,46.815823,1003 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1003,CRESCENT,,LN,
-100.808548,46.819329,1261 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1261,PARKVIEW,N,DR,
-100.805223,46.815674,1005 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1005,PARKVIEW,,DR,
-100.807746,46.819607,1301 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1301,COULEE,E,RD,
-100.808548,46.81892,1232 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1232,COULEE,E,RD,
-100.804619,46.81612,1010 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1010,ARTHUR,,DR,
-100.806339,46.812968,814 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,814,CRESCENT,,LN,
-100.808769,46.81979,1260 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1260,PARKVIEW,N,DR,
-100.811607,46.814289,901 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,901,MIDWAY,,DR,
-100.811456,46.814914,913 MIDWAY DR,BISMARCK,,58501,North Dakota,Residential,913,MIDWAY,,DR,
-100.811211,46.814301,1122 FAIRVIEW PL,BISMARCK,,58501,North Dakota,Residential,1122,FAIRVIEW,,PL,
-100.810277,46.814101,1109 FAIRVIEW PL,BISMARCK,,58501,North Dakota,Residential,1109,FAIRVIEW,,PL,
-100.810509,46.814777,1004 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Business,1004,HIGHLAND ACRES,E,RD,
-100.811213,46.818511,1222 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1222,HIGHLAND ACRES,E,RD,
-100.809837,46.818729,1230 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1230,PARKVIEW,N,DR,
-100.811052,46.819441,1239 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1239,HIGHLAND ACRES,E,RD,
-100.815079,46.815262,1008 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1008,HIGHLAND ACRES,W,RD,
-100.810414,46.816072,1028 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1028,HIGHLAND ACRES,E,RD,
-100.808548,46.819111,1238 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1238,COULEE,E,RD,
-100.815033,46.818848,1242 W HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1242,HIGHLAND ACRES,W,RD,
-100.806419,46.819298,1236 WARD RD,BISMARCK,,58501,North Dakota,Residential,1236,WARD,,RD,
-100.813076,46.813511,1216 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1216,HIGHLAND ACRES,S,RD,
-100.814056,46.813988,1238 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1238,HIGHLAND ACRES,S,RD,
-100.813546,46.813641,1224 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1224,HIGHLAND ACRES,S,RD,
-100.814367,46.813526,1233 S HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1233,HIGHLAND ACRES,S,RD,
-100.813087,46.814613,1212 VICTORY PL,BISMARCK,,58501,North Dakota,Residential,1212,VICTORY,,PL,
-100.806885,46.815987,1013 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1013,CRESCENT,,LN,
